consulta,origen,destino,dist_dijkstra,saltos_bfs,nodos_dijkstra,nodos_bfs,t_dijkstra_ms,t_bfs_ms
Q01,1,500000,491,101,1087561,1087561,314.7,96.0623
Q02,100,1000000,2294,484,1087561,1087561,343.942,76.7286
Q03,50000,750000,2642,545,1087561,1087561,274.702,63.4332
Q04,200000,800000,624,124,1087561,1087561,299.877,76.1026
Q05,300000,100000,3209,666,1087561,1087561,275.015,96.1562
Q06,1,1087562,422,95,1087561,1087561,516.815,110.669
Q07,500000,1,491,101,1087561,1087561,502.277,131.51
Q08,250000,600000,1485,300,1087561,1087561,645.473,143.024
Q09,10000,900000,871,169,1087561,1087561,413.04,76.388
Q10,400000,150000,778,167,1087561,1087561,285.807,57.4059
